player,angle,length,angle_degrees
Pedri,2.3036115,8.072174,131.98721658780084
Pedri,1.6460508,25.271526,94.31176370413277
Pedri,-0.013034644,53.704563,359.25316991134446
Pedri,2.646041,12.617845,151.60698171857587
Pedri,1.8477703,31.084723,105.86943969962198
Pedri,0.8631631,10.922454,49.45560266142863
Pedri,-1.3552209,14.024621,282.35156212207903
Pedri,3.0533867,14.757371,174.94617113137804
Pedri,-0.848728,14.524806,311.3714676454207
Pedri,1.5975457,29.9107,91.53262618927276
Pedri,0.7690062,8.627862,44.06080967939329
Pedri,-0.7853982,9.758074,314.9999979028283
Pedri,1.6778238,24.339268,96.13222250660193
Pedri,1.7150857,11.822859,98.26717211324045
Pedri,0.66501534,17.664087,38.10257229345747
Pedri,2.5323431,22.193016,145.09257190907536
Pedri,-0.90879893,18.383144,307.92965688499487
Pedri,1.3814263,12.218429,79.14989669837311
Pedri,-0.29544082,9.6166525,343.07248791811577
Pedri,1.5481586,26.506792,88.70295379688221
Pedri,-0.6119024,20.890429,324.9405750060741
Pedri,1.6379597,22.350391,93.84817782251446
Pedri,1.3411539,15.815183,76.84245814751046
Pedri,1.9032992,29.410883,109.05101131062597
Pedri,-0.4636476,16.77051,333.4349493386302
Pedri,0.9692287,14.312582,55.53271389295141
Pedri,-0.068441324,49.716396,356.0786009905126
Pedri,0.64470303,16.640013,36.9387626582961
Pedri,-1.9674616,28.73082,247.27275396594382
Pedri,-1.0722284,10.247438,298.56583800593495
Pedri,-1.8925469,25.614449,251.56505009943254
Pedri,0.99945885,14.978985,57.26477390199882
Pedri,-1.6306051,16.729914,266.57320971749243
Pedri,-1.8282841,31.022734,255.24703731912584
Pedri,-0.52278906,13.619104,330.0463932863884
Pedri,-0.10281082,12.666886,354.10937392572083
Pedri,-1.7062155,41.479755,262.24105291019646
Pedri,-2.1023455,29.001553,239.54447577167917
Pedri,-1.7196863,34.38037,261.46923292353165
Pedri,-1.825732,34.1022,255.39326187802118
Pedri,-2.5330706,14.869096,214.86574541132887
Pedri,-0.6835298,15.992811,320.83662728857877
Pedri,0.82537687,24.768528,47.290611158718015
Pedri,-2.54695,20.884922,214.07051436915498
Pedri,-1.4484595,12.291867,277.0093838543705
Pedri,0.32682666,12.459535,18.725788250357123
Pedri,0.6871242,5.0447993,39.36931666130308
Pedri,-2.965908,34.328415,190.06598917591302
Pedri,-1.7856807,25.793217,257.6880323320335
Pedri,-2.162819,27.596558,236.07959944929482
Pedri,0.03245613,15.408114,1.8595992683279365
