player,team,primary_position,matches_played,passes_per_match,progression_rate_pct,final_third_per_match,box_passes_per_match,key_passes_per_match
Axel Witsel,Belgium,Left Defensive Midfield,3,56.3,5.92,3.0,0.0,0.33
Toby Alderweireld,Belgium,Right Center Back,3,81.3,19.67,4.33,0.33,0.0
Jan Vertonghen,Belgium,Left Center Back,3,79.0,12.24,0.67,0.0,0.0
Thomas Meunier,Belgium,Right Back,3,36.3,15.6,1.67,1.0,0.67
Thibaut Courtois,Belgium,Goalkeeper,3,36.3,24.77,0.33,0.0,0.0
Timothy Castagne,Belgium,Left Back,3,58.7,14.2,5.67,0.67,0.0
Kevin De Bruyne,Belgium,Right Wing,3,33.3,21.0,4.33,4.33,2.67
Chris Mepham,Wales,Right Center Back,3,47.7,19.58,2.33,0.67,0.67
Ben Davies,Wales,Left Center Back,3,40.3,22.31,3.33,0.0,0.0
Joe Rodon,Wales,Center Back,3,49.0,10.88,0.0,0.0,0.0
Ethan Ampadu,Wales,Center Defensive Midfield,3,36.7,20.0,4.67,0.33,0.67
Jhegson Sebastián Méndez Carabalí,Ecuador,Right Defensive Midfield,2,65.0,7.69,2.5,0.0,1.0
Salis Abdul Samed,Ghana,Left Defensive Midfield,3,43.3,6.15,3.0,0.0,0.33
Daniel Amartey,Ghana,Right Center Back,3,43.0,20.93,3.0,0.0,1.0
Thomas Teye Partey,Ghana,Right Defensive Midfield,3,51.0,16.34,7.0,0.67,0.67
Mohamed Salisu,Ghana,Left Center Back,3,35.3,19.81,4.0,0.0,0.0
Leander Dendoncker,Belgium,Right Center Back,2,58.5,10.26,2.0,0.5,0.5
César Azpilicueta Tanco,Spain,Right Back,2,84.5,8.88,6.5,1.5,1.5
Kamal Miller,Canada,Left Center Back,3,61.3,23.37,9.0,0.0,0.0
Alistair Johnston,Canada,Right Back,3,52.0,20.51,5.67,1.67,1.33
Steven de Sousa Vitoria,Canada,Right Center Back,3,53.3,18.12,3.67,0.0,0.0
Atiba Hutchinson,Canada,Right Defensive Midfield,3,34.3,12.62,3.67,0.0,0.0
Kieran Trippier,England,Right Back,3,55.0,12.12,4.0,2.33,1.0
Pau Francisco Torres,Spain,Left Center Back,1,171.0,7.02,14.0,0.0,0.0
